Call of Duty: Ghosts,3.63,0.38,PS3
Call of Duty 4: Modern Warfare,2.36,0.13,X360
Donkey Kong Country,1.71,3,SNES
Minecraft,2.65,0.02,X360
Animal Crossing: New Leaf,2.36,4.39,3DS
Mario Party DS,1.85,1.98,DS
The Elder Scrolls V: Skyrim,2.79,0.1,X360
Super Mario Kart,1.24,3.81,SNES
FIFA 16,6.12,0.06,PS4
Halo 2,1.53,0.05,XB
Wii Party,3.47,2.49,Wii
Mario Party 8,2.24,1.58,Wii
FIFA Soccer 13,5.01,0.13,PS3
GoldenEye 007,2.01,0.13,N64
Pokemon Black 2/Pokemon White 2,1.72,3.14,DS
Final Fantasy X,2.07,2.73,PS2
The Sims 3,6.42,0,PC
Mario & Sonic at the Olympic Games,3.86,0.66,Wii
Star Wars Battlefront (2015),3.49,0.22,PS4
Final Fantasy VIII,1.72,3.63,PS
Pac-Man,0.45,0,2600
Pokémon Platinum Version,1.72,2.69,DS
Grand Theft Auto: Liberty City Stories,2.81,0.24,PSP
Call of Duty: Advanced Warfare,3.48,0.14,PS4
The Legend of Zelda: Ocarina of Time,1.89,1.45,N64
FIFA 17,5.75,0.08,PS4
Crash Bandicoot 2: Cortex Strikes Back,2.17,1.31,PS
Super Smash Bros. for Wii U and 3DS,1.37,2.43,3DS
Super Mario Galaxy 2,2.35,0.98,Wii
Super Mario Bros. 2,1.18,0.7,NES
Call of Duty: Black Ops 3,2.11,0.01,XOne
Call of Duty: World at War,1.88,0,X360
Battlefield 3,2.11,0.06,X360
Need for Speed Underground,2.83,0.08,PS2
Just Dance,2.99,0,Wii
Battlefield 3,2.89,0.35,PS3
Fallout 4,3.27,0.24,PS4
Tekken 3,2.22,1.4,PS
The Legend of Zelda: Twilight Princess,2.14,0.6,Wii
Pokemon Sun/Moon,1.45,2.26,3DS
Crash Bandicoot 3: Warped,1.75,1.42,PS
Mario Kart 8,2.15,1.28,WiiU
Super Smash Bros. Melee,1.04,1.39,GC
Mario Kart: Double Dash!!,1.77,0.87,GC
Need for Speed Underground 2,3.02,0.08,PS2
Medal of Honor: Frontline,2.75,0.17,PS2
Crash Bandicoot,2.35,0.94,PS
Just Dance 4,2.16,0,Wii
Gears of War 2,1.9,0.06,X360
Uncharted 3: Drake's Deception,2.75,0.19,PS3
Zumba Fitness,2.59,0,Wii
Call of Duty 4: Modern Warfare,2.26,0.28,PS3
Uncharted 2: Among Thieves,2.2,0.21,PS3
FIFA 12,4.3,0.11,PS3
Big Brain Academy,2.75,1.6,DS
The Legend of Zelda,0.93,1.69,NES
Red Dead Redemption,2.53,0.17,PS3
FIFA 14,4.24,0.07,PS3
Assassin's Creed III,2.52,0.16,PS3
Donkey Kong Country Returns,1.79,1.03,Wii
Halo: Combat Evolved,1.3,0.08,XB
The Elder Scrolls V: Skyrim,2.6,0.25,PS3
Pokémon Emerald Version,1.58,2.06,GBA
Kingdom Hearts,1.2,1.49,PS2
Pokémon Crystal Version,1.56,1.29,GB
Halo 3: ODST,1.34,0.06,X360
Red Dead Redemption,1.95,0.09,X360
Super Mario Sunshine,1.26,0.87,GC
Street Fighter II: The World Warrior,0.83,2.87,SNES
World of Warcraft,6.21,0,PC
Driver,2.8,0.02,PS
Gears of War 3,1.59,0.07,X360
Kinect Sports,1.73,0.03,X360
Gears of War,1.88,0.07,X360
FIFA 15,4.33,0.05,PS4
Metal Gear Solid 2: Sons of Liberty,2.01,0.87,PS2
Sonic the Hedgehog 2,1.2,0.16,GEN
Metal Gear Solid,1.83,0.78,PS
Metal Gear Solid 4: Guns of the Patriots,1.71,0.83,PS3
Final Fantasy XII,0,2.33,PS2
The Last of Us,2.18,0.28,PS3
LittleBigPlanet,1.98,0.17,PS3
Resident Evil 2,1.47,2.02,PS
Dragon Quest IX: Sentinels of the Starry Skies,0.67,4.35,DS
Tekken 2,1.89,1.36,PS
Destiny,2.07,0.16,PS4
LEGO Star Wars: The Complete Saga,1.55,0,Wii
Cooking Mama,1.91,0.07,DS
Tetris,0.69,1.81,NES
Super Smash Bros.,0.6,1.97,N64
Assassin's Creed II,1.93,0.21,PS3
Assassin's Creed,1.64,0.07,X360
Forza Motorsport 3,1.9,0.1,X360
Super Mario Advance,1.24,0.91,GBA
Monster Hunter Freedom Unite,0.55,4.13,PSP
Batman: Arkham City,1.85,0.11,PS3
Grand Theft Auto V,2.19,0,XOne
Mario Kart: Super Circuit,1.64,0.99,GBA
Super Mario World,1.11,0.95,GBA
Pokemon Stadium,1.24,0.94,N64
Crash Bandicoot: The Wrath of Cortex,2.29,0.24,PS2
Call of Duty: World at War,1.83,0,PS3
Uncharted 4: A Thief's End,2.5,0.19,PS4
Dr. Mario,0.96,2,GB
Final Fantasy XIII,1.21,1.87,PS3
Pokemon Pinball,1.12,1.01,GB
Final Fantasy IX,0.77,2.78,PS
Assassin's Creed III,1.69,0.03,X360
Final Fantasy X-2,1.08,2.11,PS2
Donkey Kong 64,0.79,1.09,N64
Call of Duty: Advanced Warfare,1.55,0.01,XOne
Minecraft,2.37,0,PS3
Assassin's Creed II,1.55,0.08,X360
Tomb Raider II,2.46,0.2,PS
Madden NFL 2004,0.26,0.01,PS2
Tomodachi Life,2.11,1.9,3DS
New Super Mario Bros. U,1.34,1.27,WiiU
Dragon Quest VIII: Journey of the Cursed King,0.75,3.61,PS2
Super Mario Bros. 3,1.25,0.83,GBA
Professor Layton and the Curious Village,2.43,1.03,DS
Super Mario Land 3: Wario Land,0.98,1.57,GB
FIFA Soccer 13,3.47,0.03,X360
Donkey Kong Country 2: Diddy's Kong Quest,0.74,2.2,SNES
Diablo III,2.16,0,PC
Medal of Honor: Rising Sun,2.23,0.13,PS2
Kirby's Dream Land,0.61,1.7,GB
Microsoft Flight Simulator,1.69,0,PC
Guitar Hero II,0.63,0,PS2
Fable III,1.08,0.05,X360
Mario & Sonic at the Olympic Games,2.45,0.44,DS
Resident Evil 5,1.41,1.08,PS3
The Legend of Zelda: Phantom Hourglass,1.8,0.95,DS
Super Mario Bros.,1.3,0.15,GB
FIFA Soccer 11,3.28,0.06,PS3
Resident Evil,1.16,1.11,PS
Grand Theft Auto: Vice City Stories,1.99,0.16,PSP
Tony Hawk's Pro Skater,1.38,0.02,PS
Warzone 2100,1.89,0,PS
Spyro the Dragon,1.36,0.07,PS
Guitar Hero III: Legends of Rock,0.01,0.01,PS2
Link's Crossbow Training,1.17,0.29,Wii
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,1.19,1.54,DS
Fallout 3,0.99,0.09,X360
Uncharted: Drake's Fortune,1.72,0.12,PS3
Madden NFL 06,0.26,0.01,PS2
Diddy Kong Racing,0.99,0.89,N64
Monster Hunter Freedom 3,0,4.87,PSP
Super Smash Bros. for Wii U and 3DS,1.08,0.81,WiiU
Dr. Mario,0.6,1.52,NES
StarCraft II: Wings of Liberty,1.68,0,PC
Assassin's Creed,2,0.09,PS3
God of War III,1.33,0.12,PS3
Crash Team Racing,1.57,0.44,PS
LEGO Star Wars: The Complete Saga,1.48,0,DS
Driver 2,2.1,0.02,PS
Batman: Arkham City,1.27,0.04,X360
The Last of Us,2,0.07,PS4
The Simpsons: Hit & Run,2.19,0,PS2
Tony Hawk's Pro Skater 2,1.41,0.02,PS
The Lord of the Rings: The Two Towers,1.95,0.08,PS2
Tomb Raider,1.97,0.13,PS
Animal Crossing: City Folk,1.12,1.32,Wii
Uncharted: The Nathan Drake Collection,1.71,0.08,PS4
The Legend of Zelda: A Link to the Past,0.91,1.15,SNES
The Legend of Zelda: The Wind Waker,0.99,0.89,GC
Guitar Hero III: Legends of Rock,1.11,0,Wii
Luigi's Mansion: Dark Moon,1.39,1.11,3DS
Forza Motorsport 4,1.97,0.06,X360
Mario & Sonic at the Olympic Winter Games,1.96,0.22,Wii
Madden NFL 2005,0.26,0.01,PS2
Guitar Hero III: Legends of Rock,0.91,0.01,X360
Pitfall!,0.24,0,2600
Madden NFL 07,0.24,0.01,PS2
Halo 5: Guardians,1.27,0.03,XOne
Spider-Man: The Movie,1.51,0.03,PS2
Dragon Quest VII: Warriors of Eden,0.14,4.1,PS
Call of Duty: Infinite Warfare,2,0.15,PS4
God of War,1.29,0.02,PS2
Splatoon,1.18,1.46,WiiU
Nintendo Land,1.11,0.46,WiiU
Tony Hawk's Pro Skater 3,1.29,0.01,PS2
Winning Eleven: Pro Evolution Soccer 2007,2.39,1.05,PS2
The Elder Scrolls IV: Oblivion,1.03,0.13,X360
Zelda II: The Adventure of Link,0.5,1.61,NES
Need for Speed: Most Wanted,1.79,0.08,PS2
Michael Jackson: The Experience,1.33,0.01,Wii
Call of Duty: Advanced Warfare,1.93,0.19,PS3
Resistance: Fall of Man,1.72,0.14,PS3
Sonic the Hedgehog,0.91,0.26,GEN
Kingdom Hearts II,0.58,1.38,PS2
The Legend of Zelda: Ocarina of Time,1.31,0.62,3DS
Super Mario 3D World,1.16,0.73,WiiU
Minecraft,2.02,0.14,PS4
Asteroids,0.26,0,2600
Call of Duty: Advanced Warfare,1.11,0,X360
FIFA 15,3.02,0.04,PS3
Fable II,1.24,0.11,X360
Namco Museum,1.11,0.05,GBA
Batman: Arkham Asylum,1.31,0.07,PS3
Metal Gear Solid 3: Snake Eater,0,0.83,PS2
Assassin's Creed: Revelations,2.01,0.1,PS3
Fallout 4,1.32,0.01,XOne
FIFA 14,2.89,0.01,X360
Daxter,1.01,0,PSP
Warcraft II: Tides of Darkness,2.27,0,PC
FIFA Soccer 06,2.55,0.04,PS2
EyeToy Play,2.3,0.2,PS2
Gran Turismo 5 Prologue,1.82,0.57,PS3
Assassin's Creed: Revelations,1.47,0.04,X360
FIFA 12,2.78,0.02,X360
Teenage Mutant Ninja Turtles,0.44,0.31,NES
Street Fighter IV,1.04,0.58,PS3
Excitebike,0.48,1.57,NES
Frogger,0.27,0,PS
Madden NFL 2003,0.21,0.01,PS2
Half-Life,0,0.09,PC
Super Mario World 2: Yoshi's Island,0.61,1.76,SNES
FIFA Soccer 07,2.48,0.03,PS2
Street Fighter II Turbo,0.51,2.1,SNES
World of Warcraft: The Burning Crusade,1.52,0,PC
Battlefield 1,2.15,0.21,PS4
God of War II,0.04,0.04,PS2
World Soccer Winning Eleven 9,2.26,0.9,PS2
Fallout: New Vegas,1.03,0.04,X360
Forza Motorsport 2,1.27,0.03,X360
Carnival Games,1.47,0.05,Wii
Watch Dogs,1.9,0.11,PS4
Namco Museum Vol.3,1.55,0.16,PS
Tekken Tag Tournament,1.51,0.51,PS2
Far Cry 4,2.18,0.1,PS4
Star Fox 64,0.58,0.64,N64
Golf,0.28,2.46,NES
Namco Museum: 50th Anniversary,1.35,0,PS2
Left 4 Dead 2,0.87,0.05,X360
The Witcher 3: Wild Hunt,2.13,0.23,PS4
Assassin's Creed: Unity,2.07,0.08,PS4
Batman: Arkham Knight,1.69,0.1,PS4
The Legend of Zelda: Skyward Sword,1.16,0.37,Wii
Fallout 3,1.13,0.07,PS3
Professor Layton and the Diabolical Box,1.76,0.92,DS
Donkey Kong Land,0.76,1.07,GB
EA Sports Active,1.35,0.06,Wii
Tony Hawk's Underground,1.17,0.01,PS2
Monster Hunter 4 Ultimate,0.48,2.62,3DS
The Elder Scrolls V: Skyrim,2.12,0,PC
NBA 2K16,0.66,0.03,PS4
Tekken 5,1.94,0.31,PS2
Dragon Warrior III,0,3.77,NES
MotorStorm,1.6,0.06,PS3
Nintendogs + cats,1.41,0.73,3DS
World Soccer Winning Eleven 8 International,1.89,1.12,PS2
Sports Champions,1.12,0.1,PS3
Namco Museum Vol.1,1.44,0.22,PS
The Legend of Zelda: Link's Awakening,0.96,0.54,GB
Call of Duty: Ghosts,1.43,0.05,PS4
Flash Focus: Vision Training in Minutes a Day,1.56,1.05,DS
Tom Clancy's The Division,1.7,0.15,PS4
Big Brain Academy: Wii Degree,1.91,0.41,Wii
Resident Evil Director's Cut,1.24,0.47,PS
Mario & Luigi: Bowser's Inside Story,0.47,0.81,DS
LEGO Indiana Jones: The Original Adventures,1.01,0,X360
The Sims: Unleashed,1.56,0,PC
Ratchet & Clank: Size Matters,1.39,0.1,PSP
Harry Potter and the Sorcerer's Stone,2,0.14,PS
Mario & Sonic at the London 2012 Olympic Games,1.87,0.27,Wii
Resident Evil 3: Nemesis,0.77,1.54,PS
Super Paper Mario,0.86,0.59,Wii
Spyro: Year of the Dragon,1.58,0,PS
Assassin's Creed IV: Black Flag,1.68,0.13,PS3
FIFA Soccer 2005,2.48,0.04,PS2
Pokémon Trading Card Game,0.73,1.38,GB
Friend Collection,0,3.67,DS
Tony Hawk's Pro Skater 4,1.18,0.01,PS2
Star Wars Battlefront (2015),1.28,0.02,XOne
MySims,1.59,0.08,DS
Midnight Club 3: DUB Edition,1.21,0,PSP
Banjo-Kazooie,1.13,0.55,N64
SOCOM: U.S. Navy SEALs,0.81,0.06,PS2
Jak and Daxter: The Precursor Legacy,1.09,0.15,PS2
Pokemon Snap,0.68,0.66,N64
Pro Evolution Soccer 2008,0,0.64,PS2
Resident Evil 4,0.83,0.46,PS2
Guitar Hero: World Tour,0.96,0,Wii
FIFA Soccer 10,2.45,0.05,PS3
Star Wars: Battlefront,1.22,0.03,PS2
Doom II: Hell on Earth,1.4,0,PC
The Simpsons: Road Rage,1.17,0,PS2
Luigi's Mansion,0.67,0.46,GC
Battlefield 4,1.55,0.17,PS4
Star Wars: Battlefront II,1.02,0.03,PS2
Just Dance 2014,1.39,0,Wii
Cooking Mama 2: Dinner With Friends,1.49,0.1,DS
WWF SmackDown!,1.35,0.06,PS
Croc: Legend of the Gobbos,1.79,0,PS
Grand Theft Auto: Liberty City Stories,1.4,0.07,PS2
The Getaway,1.77,0.05,PS2
Tomb Raider III: Adventures of Lara Croft,1.58,0.12,PS
James Bond 007: Agent Under Fire,1.13,0.1,PS2
LEGO Star Wars: The Video Game,1.14,0.01,PS2
Rugrats in Paris: The Movie,1.33,0,PS
FIFA Soccer 11,2.39,0.02,X360
Spyro 2: Ripto's Rage!,1.21,0.01,PS
Left 4 Dead,0.49,0.05,X360
Donkey Kong Country 3: Dixie Kong's Double Trouble!,0.5,1.75,SNES
Assassin's Creed: Unity,0.9,0,XOne
Kung Fu,0.38,1.42,NES
Resident Evil 5,0.93,0.12,X360
Assassin's Creed: Brotherhood,0.38,0.03,X360
FIFA Soccer 2004,2.36,0.04,PS2
Battlefield 4,1.42,0.27,PS3
Batman: Arkham Asylum,0.95,0.02,X360
Battlefield 4,1.01,0.02,X360
Battlefield: Bad Company 2,1.01,0.04,X360
Mario & Sonic at the Olympic Winter Games,1.62,0.27,DS
Guitar Hero: On Tour,1.01,0.01,DS
Clubhouse Games,1.79,0.73,DS
Monster Hunter 4,0,3.44,3DS
Borderlands,0.71,0.03,X360
Tekken 4,1.27,0.33,PS2
Final Fantasy III,0,2.55,SNES
Grand Theft Auto 2,2.07,0,PS
Metal Gear Solid V: The Phantom Pain,1.36,0.49,PS4
Spider-Man 2,1.2,0.02,PS2
F-1 Race,0.69,0.59,GB
FIFA Soccer 2003,2.28,0.05,PS2
LittleBigPlanet 2,1.05,0.06,PS3
Crash Bash,1.47,0.19,PS
Assassin's Creed Syndicate,1.99,0.07,PS4
LEGO Batman: The Videogame,1.02,0,X360
Destiny,0.92,0,XOne
WWF War Zone,0.76,0,PS
The Legend of Zelda: Majora's Mask,0.67,0.73,N64
Far Cry 3,1.7,0.1,PS3
Rugrats: Search For Reptar,1.53,0,PS
English Training: Have Fun Improving Your Skills!,0.99,2.32,DS
James Bond 007: Nightfire,1.29,0.12,PS2
Ratchet & Clank,1.01,0.57,PS2
Monster Hunter X,0.21,2.79,3DS
Star Wars Episode III: Revenge of the Sith,1.39,0.03,PS2
The Legend of Zelda: Spirit Tracks,0.91,0.74,DS
Max Payne,1.05,0.05,PS2
Assassin's Creed IV: Black Flag,1.11,0.01,X360
The Lord of the Rings: The Return of the King,1.28,0.05,PS2
Yokai Watch 2 Ganso/Honke,0,3.18,3DS
Gears of War: Ultimate Edition,0.33,0,XOne
True Crime: Streets of LA,1.05,0.02,PS2
Professor Layton and the Unwound Future,1.57,0.82,DS
Gran Turismo (PSP),1.58,0.31,PSP
FIFA 16,2.12,0,XOne
Wii Music,1.11,0.46,Wii
Tekken,1.3,0.77,PS
Madden NFL 16,0.3,0,PS4
Gran Turismo 6,1.67,0.4,PS3
Halo: The Master Chief Collection,1,0.03,XOne
007: Tomorrow Never Dies,1.33,0,PS
Super Mario Maker,0.89,0.94,WiiU
WWF SmackDown! 2: Know Your Role,1.21,0.07,PS
Baseball,0.1,2.35,NES
Killer Instinct,0.72,0.12,SNES
Dragon Quest VI: Maboroshi no Daichi,0,3.19,SNES
God of War: Chains of Olympus,1,0.04,PSP
Enter the Matrix,1.12,0.09,PS2
Crisis Core: Final Fantasy VII,0.59,0.8,PSP
Dance Central,0.76,0.01,X360
L.A. Noire,1.29,0.12,PS3
Ace Combat 04: Shattered Skies,0.56,0.38,PS2
Animal Crossing,0.16,0.99,GC
FIFA Soccer 08,0,0,PS2
Club Penguin: Elite Penguin Force,0.97,0,DS
Spider-Man,1.25,0.02,PS
Mario Party 9,1.09,0.76,Wii
Need for Speed III: Hot Pursuit,0.86,0,PS
Star Wars Episode I Racer,0.62,0.14,N64
Sonic Rush,1.56,0.06,DS
Dragon Warrior IV,0,3.03,NES
Rhythm Heaven,0.5,1.93,DS
Fallout: New Vegas,1.03,0.1,PS3
Personal Trainer: Cooking,1,1.03,DS
The Elder Scrolls IV: Oblivion,0.85,0.14,PS3
The Legend of Zelda: A Link Between Worlds,1.01,0.46,3DS
Resident Evil 6,0.94,0.88,PS3
Mass Effect 2,0.81,0.03,X360
Dragon Ball Z: Budokai,0.28,0.55,PS2
Madden NFL 2002,0.16,0.01,PS2
World Class Track Meet,0.45,0.64,NES
Donkey Kong,0.62,0.55,GB
The Sims: Vacation,1.21,0,PC
LEGO Batman: The Videogame,0.97,0,Wii
Animal Crossing: Happy Home Designer,1.02,1.4,3DS
The Sims 4,1.82,0,PC
Borderlands 2,0.88,0.04,X360
LEGO Batman: The Videogame,1.01,0,DS
Kung Fu Panda,0.84,0,X360
Mass Effect 3,0.84,0.03,X360
Heavy Rain,1.21,0.06,PS3
Rayman,1.33,0,PS
Saints Row 2,0.79,0.02,X360
Tom Clancy's Splinter Cell,1.04,0,XB
Mike Tyson's Punch-Out!!,0.47,0.45,NES
WWE SmackDown! Shut Your Mouth,1.13,0.07,PS2
FIFA 14,1.85,0.11,PS4
Killzone 2,1.06,0.08,PS3
Far Cry 3,1.32,0.02,X360
Epic Mickey,0.63,0.12,Wii
NBA 2K13,0.2,0.01,X360
Dragon Ball Z: Budokai Tenkaichi 3,0,0.76,PS2
wwe Smackdown vs. Raw 2006,1.02,0,PS2
Star Fox,0.51,0.8,SNES
The Sims: Livin Large,1.18,0,PC
World Soccer Winning Eleven 6 International,1.26,1.16,PS2
Devil May Cry,0.86,0.64,PS2
Star Wars: The Old Republic,1.01,0,PC
Middle-Earth: Shadow of Mordor,1.43,0.05,PS4
Sonic Heroes,1.37,0.06,PS2
Hitman 2: Silent Assassin,1.15,0.04,PS2
Titanfall,0.8,0.04,XOne
Battlefield: Bad Company 2,1.1,0.08,PS3
Wave Race 64,0.58,0.34,N64
SOCOM II: U.S. Navy SEALs,0.51,0.06,PS2
WWE SmackDown! vs. RAW 2006,1.11,0.04,PS2
Pac-Man Collection,0.77,0.05,GBA
Street Fighter IV,0.7,0.15,X360
inFAMOUS,0.68,0.12,PS3
Kirby Super Star Ultra,0.04,1.19,DS
Call of Duty: Ghosts,0.77,0,XOne
FIFA 15,1.92,0,X360
Super Mario World 2: Yoshi's Island,0.45,0.62,GBA
Mass Effect,0.79,0.03,X360
Sonic Mega Collection Plus,1.14,0,PS2
World Soccer Winning Eleven 7 International,1.24,1.13,PS2
Sega Superstars Tennis,0.86,0,X360
Hot Shots Golf 3,0.32,1.38,PS2
Cooking Mama: Cook Off,1.12,0.05,Wii
Call of Duty: Finest Hour,1.12,0.01,PS2
WarioWare: Smooth Moves,1.04,0.73,Wii
Syphon Filter,0.72,0.02,PS
Imagine: Babyz,1.26,0,DS
Colin McRae Rally,2.43,0.12,PS
Madden NFL 13,0.15,0,X360
The Elder Scrolls III: Morrowind,0.63,0.03,XB
Assassin's Creed IV: Black Flag,1.31,0.06,PS4
Command & Conquer: Red Alert,1.34,0,PC
F-Zero,0.51,0.89,SNES
Yoshi's Story,0.53,0.98,N64
Mortal Kombat,0.53,0,PS3
Madden NFL 10,0.09,0,X360
WWE SmackDown! vs. Raw,1.08,0.04,PS2
BioShock,0.85,0.05,X360
Metroid Prime,0.67,0.1,GC
Assassin's Creed: Brotherhood,0.55,0.11,PS3
Finding Nemo,1.05,0.04,GBA
Zumba Fitness 2,1.03,0,Wii
Myst,2.79,0,PC
Medal of Honor,1.04,0.07,PS3
Need for Speed: Most Wanted,1.46,0.06,PS3
Imagine: Fashion Designer,1.19,0,DS
WWE SmackDown! Here Comes the Pain,1.06,0.04,PS2
Hot Shots Golf,0.2,2.13,PS
A Bug's Life,0.72,0,PS
WWF SmackDown! Just Bring It,1.15,0.04,PS2
inFAMOUS: Second Son,0.98,0.07,PS4
Dragon Quest V: Tenkuu no Hanayome,0,2.78,SNES
Mortal Kombat Trilogy,0.7,0,PS
Monster Hunter Tri,0.29,1.96,3DS
NBA Street,0.22,0,PS2
Jak II,0.74,0,PS2
Ratchet & Clank: Going Commando,0.83,0.26,PS2
Need for Speed: Hot Pursuit,1.23,0.03,PS3
Skylanders: Spyro's Adventure,1.13,0,Wii
Battlefield 3,1.43,0,PC
Mortal Kombat X,0.8,0,PS4
The Sims,1.12,0,PS2
Killzone 3,0.86,0.09,PS3
Star Wars: The Force Unleashed,0.77,0,X360
Minecraft,0.9,0,XOne
Yoshi's Island DS,0.07,1.1,DS
Saints Row: The Third,1.14,0.07,X360
Missile Command,0.17,0,2600
Mario Paint,0.54,0.71,SNES
Tekken 6,0.97,0.17,PS3
Pokémon Stadium 2,0.36,1.13,N64
Metroid,0.31,1.04,NES
Sonic and the Secret Rings,1.19,0.04,Wii
FIFA 16,1.84,0.05,PS3
The Legend of Zelda: A Link to the Past,0.52,0.33,GBA
Onimusha: Warlords,0.48,1.09,PS2
Mario Party,0.53,0.87,N64
L.A. Noire,0.92,0.02,X360
Call of Duty 3,0.92,0.02,X360
Madden NFL 12,0.11,0,X360
LEGO Star Wars II: The Original Trilogy,0.64,0.01,PS2
Killzone: Shadow Fall,1.33,0.08,PS4
Madden NFL 11,0.12,0,X360
Burnout 3: Takedown,1.11,0,PS2
Yokai Watch 2 Shinuchi,0,2.68,3DS
Mortal Kombat,0.63,0,GEN
Mario vs. Donkey Kong: Mini-Land Mayhem!,0.51,0.35,DS
Professor Layton and the Last Specter,1.39,0.68,DS
Call Of Duty 2: Big Red One,0.92,0.01,PS2
Medal of Honor,1.09,0,PS
Fable,0.58,0,XB
Guitar Hero: World Tour,0.63,0,X360
FIFA 17,2.05,0,XOne
Hannah Montana,0.8,0,DS
Tom Clancy's Splinter Cell,1.11,0,PS2
Super Mario Bros.: The Lost Levels,0,2.65,NES
Need for Speed: Shift,1.4,0.04,PS3
Star Wars: Shadows of the Empire,0.5,0.12,N64
Medal of Honor Heroes,1.11,0.01,PSP
Final Fantasy XIII-2,0.73,0.89,PS3
Midnight Club: Street Racing,0.47,0.02,PS2
Skate 3,0.93,0,X360
ESPN NFL 2K5,0.12,0,PS2
Halo Wars,0.8,0.04,X360
NBA 2K12,0.14,0.01,X360
Pac-Man: Adventures in Time,1.09,0.12,PSP
FIFA Soccer 10,1.79,0.01,X360
Medal of Honor,0.8,0.04,X360
Harry Potter and the Chamber of Secrets,1.22,0.04,PS2
Streets of Rage,0.55,0.11,GEN
God of War Collection,0.44,0.06,PS3
NBA Live 2005,0.21,0,PS2
Mario Strikers Charged,1.05,0.24,Wii
FIFA Soccer 09,1.63,0.04,PS3
Style Savvy,0.82,0.96,DS
WWE SmackDown vs. RAW 2007,0.88,0.03,PS2
LEGO Star Wars: The Complete Saga,0.81,0,X360
Ratchet & Clank: Up Your Arsenal,0.74,0.31,PS2
Madden NFL 08,0.08,0,PS2
Monster Hunter Freedom 2,0.27,1.75,PSP
Ratchet & Clank Future: Tools of Destruction,1.1,0.08,PS3
Super Mario All-Stars: Limited Edition,0.52,0.92,Wii
Sonic Adventure 2 Battle,0.59,0.21,GC
Dragon Warrior II,0,2.41,NES
